Tree name	Trait species	Non-trait species	Permutations	Selective Pressure	p-value	FDR
384	5	5	20845863	constrained	0.06417381076915359	0.7474457299991011
2133	4	5	5567862	accelerated	0.06430496934539065	0.7470772261417663
7074	5	5	20845863	constrained	0.0643643052481229	0.7458782747061514
8257	5	4	10845863	constrained	0.06452052850510609	0.7458053030476873
8219	4	5	5567862	accelerated	0.06459027892065305	0.7447356531831077
2719	4	5	10845863	accelerated	0.06478215177294477	0.7450759260301844
8245	5	4	4750372	constrained	0.06519448692384983	0.7479437512338671
3559	4	5	5567862	constrained	0.06544137713112046	0.7489039392885581
539	5	5	20845863	constrained	0.06547561896078068	0.7474318791318968
3354	5	4	4750372	accelerated	0.06565683150497048	0.7476406942340187
3210	5	5	20845863	constrained	0.06575004227615389	0.7468488713001737
8461	4	4	3074060	constrained	0.06575871690308482	0.7451030910327315
435	4	4	8845863	accelerated	0.06590329298200892	0.7449019987547757
4477	4	5	10845863	accelerated	0.06594818291174998	0.7435779149435396
8617	5	4	10845863	accelerated	0.06646373897530866	0.7475541621512045
6369	5	5	20845863	constrained	0.06657292854759278	0.74695151370392
7154	4	5	5567862	constrained	0.06668984343827407	0.7464382720444871
6609	5	5	20845863	accelerated	0.06677559440342007	0.7455795686552182
5850	5	5	20845863	accelerated	0.06687021681776184	0.7448238470308473
4470	5	5	20845863	accelerated	0.06706531556863082	0.7451882158461183
